P. Habitable Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Zone Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable
2,2,3,2,3,7.09,7.09,1.82,1.18,2.15,1.98,0.3895282,0.6771687,1.285592,201.3,227.4,271.3,244.4,270.5,314.4,8.4,-18.1,3.45,197.8,0.6,0.29,0.57,89.88,91.2,0.77,0.65,4977,0.23330399999999998,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-26.4,0.6042,6,1,0.379,0.917,-0.15,-0.14,0.77,0.56,0.74,1,1
3,2,3,1,3,6.34833333333,16.46,2.24,1.46,3.28,2.71,0.9243239999999999,0.9243239999999999,0.9243242,249.8,249.8,249.8,297.4,297.4,297.4,24.1,-18.85,4.26,32.94,0.1491,0.0,0.15,89.8875,0.0,0.41,0.39,3503,0.020548,0.09,3.8977777777800005,13.5,34.0,11.504000000000001,7.5884,-26.6,1.3940000000000001,1,1,0.11699999999999999,0.304,-0.66,-0.12,1.59,0.37,0.73,0,1
3,4,3,2,3,6.34833333333,2.73,1.4,0.99,1.39,1.4,1.461332,1.461332,1.461333,280.1,280.1,280.1,318.4,318.4,318.4,2.7,-18.32,2.66,24.17,0.1212,0.0,0.12,89.8875,0.0,0.41,0.4,3497,0.021468,-0.1454,3.8977777777800005,15.3,55.52,22.3081,-9.6124,-27.1,1.7588,4,1,0.12,0.311,-0.99,-0.16,-0.12,0.5,0.82,0,1
2,4,3,2,3,4.8,4.8,1.64,1.09,1.79,1.71,0.2900587,0.4342851,0.6803408000000001,187.0,205.1,231.4,228.1,246.2,272.5,5.2,-17.37,3.11,48.62,0.168,0.21,0.16,89.88,80.4,0.28,0.29,3550,0.011984,-0.86,8.0,8.8,3.91,5.1947,-45.0183,-25.8,0.9409,2,1,0.08900000000000001,0.23199999999999998,0.12,-0.15,0.57,0.63,0.67,0,1
3,2,3,1,3,6.34833333333,20.36,2.35,1.57,3.68,2.94,1.1060290000000002,1.1060290000000002,1.1060290000000002,261.3,261.3,261.3,310.1,310.1,310.1,31.9,-19.15,4.47,289.86,0.8490000000000001,0.0,0.85,89.8,0.0,0.97,0.98,5518,0.797227,-0.29,9.9,12.0,190.0,19.2811,47.8844,-26.8,0.6145,1,1,0.68,1.615,-0.64,-0.12,1.79,0.34,0.71,0,1
3,2,3,1,3,6.34833333333,13.85,2.15,1.39,2.99,2.54,0.7885342,1.272237,2.1899319999999998,240.1,267.3,309.9,286.7,314.0,356.6,19.3,-19.14,4.09,59.88,0.27,0.25,0.26,89.8,0.0,0.64,0.62,4017,0.089801,0.03,1.0,15.0,326.0,19.6869,42.4753,-27.0,1.2639,1,1,0.243,0.614,-0.84,-0.13,1.24,0.4,0.73,0,1
3,2,3,2,3,6.34833333333,4.54,1.61,1.08,1.74,1.68,1.097676,1.097676,1.097677,260.8,260.8,260.8,301.6,301.6,301.6,4.9,-18.32,3.07,122.39,0.42700000000000005,0.0,0.43,90.0,0.0,0.69,0.63,4869,0.200138,-0.21,7.0,14.0,368.0,18.8808,45.3499,-26.8,0.7863,5,2,0.353,0.857,-0.7,-0.15,0.28,0.56,0.83,0,1
2,4,3,2,3,5.36666666667,2.81,1.41,1.0,1.41,1.41,0.388223,0.388223,0.388223,201.1,201.1,201.1,239.5,239.5,239.5,2.8,-16.89,2.68,267.29,0.718,0.0,0.72,89.9,0.0,0.69,0.63,4869,0.200138,-0.21,7.0,14.0,368.0,18.8808,45.3499,-25.7,0.4676,5,2,0.353,0.857,0.45,-0.16,0.19,0.66,0.67,0,1
2,2,3,1,3,5.36666666667,14.78,2.18,1.42,3.1,2.6,0.42675159999999995,0.42675159999999995,0.42675169999999996,205.9,205.9,205.9,252.9,252.9,252.9,21.0,-17.95,4.15,247.35,0.677,0.0,0.68,89.88,0.0,0.68,0.62,4880,0.19559300000000002,-0.556,3.3225,11.878571428599999,360.0,19.1626,43.8321,-25.8,0.488,3,1,0.348,0.846,0.32,-0.13,1.77,0.36,0.61,0,1
3,2,3,2,3,6.34833333333,7.04,1.81,1.18,2.14,1.97,0.898436,0.8984360999999998,0.8984360999999998,248.0,248.0,248.0,291.1,291.1,291.1,8.3,-18.36,3.45,92.74,0.341,0.0,0.34,89.8875,0.0,0.62,0.57,4351,0.10447100000000001,-0.26,3.8977777777800005,12.370833333299998,534.0,19.5742,47.839,-26.6,0.8908,2,1,0.26,0.6459999999999999,-0.58,-0.14,0.69,0.52,0.79,0,1
3,4,3,2,3,6.34833333333,3.32,1.48,1.03,1.52,1.5,1.005184,1.2222879999999998,1.501434,255.1,267.4,282.0,294.3,306.6,321.3,3.4,-18.25,2.81,34.14,0.149,0.1,0.15,90.0,0.0,0.45,0.43,3572,0.027000000000000003,-0.12,4.2,10.1,226.0,19.1027,49.4373,-27.0,1.5455,5,2,0.134,0.34700000000000003,-0.86,-0.16,0.04,0.53,0.85,0,1
2,2,3,2,3,5.36666666667,6.14,1.75,1.15,2.01,1.87,0.2687829,0.3395788,0.4353369000000001,183.4,194.0,206.9,225.8,236.3,249.3,7.0,-17.22,3.33,63.34,0.28300000000000003,0.12,0.28,90.0,0.0,0.45,0.43,3572,0.027000000000000003,-0.12,4.2,10.1,226.0,19.1027,49.4373,-25.6,0.8155,5,2,0.134,0.34700000000000003,0.4,-0.14,0.86,0.51,0.6,0,1
3,2,3,1,3,6.34833333333,26.81,2.5,1.72,4.3,3.28,1.289531,1.289531,1.289532,271.5,271.5,271.5,321.9,321.9,321.9,46.1,-19.45,4.75,77.47,0.305,0.0,0.3,89.8875,0.0,0.65,0.58,4465,0.119959,-0.121,3.8977777777800005,12.370833333299998,474.0,18.8693,48.8254,-27.0,1.0134,3,1,0.27699999999999997,0.6859999999999999,-0.86,-0.11,2.11,0.3,0.68,0,1
3,4,3,2,3,6.34833333333,1.27,1.12,0.9,1.01,1.06,1.298292,1.3779370000000002,1.46383,271.9,276.0,280.2,306.5,310.6,314.8,1.1,-17.77,2.13,35.23,0.166,0.03,0.17,89.9,0.0,0.54,0.46,3748,0.037953,0.16,4.4,9.6,145.0,18.7764,41.9511,-27.1,1.4871,1,1,0.159,0.40700000000000003,-0.94,-0.17,-0.49,0.48,0.88,0,1
3,2,3,2,3,6.34833333333,7.75,1.86,1.2,2.24,2.04,0.7514458,1.43441,3.096766,237.2,272.5,338.0,280.8,316.1,381.5,9.3,-18.99,3.54,101.11,0.242,0.34,0.23,89.9,0.0,0.57,0.55,4134,0.079,-0.3,1.3,8.3,261.0,19.0233,41.4522,-27.2,1.2857,1,1,0.22699999999999998,0.5710000000000001,-0.89,-0.14,0.62,0.48,0.75,0,1
2,4,3,2,3,5.36666666667,2.34,1.34,0.97,1.3,1.32,0.6466799,0.6999820999999999,0.7589214,228.5,233.0,237.8,266.0,270.5,275.3,2.3,-17.42,2.55,112.31,0.409,0.04,0.41,89.9,0.0,0.61,0.59,4402,0.11699999999999999,-0.37,2.9,7.7,342.0,19.0244,39.2801,-26.3,0.7685,1,1,0.27399999999999997,0.6809999999999999,-0.34,-0.16,-0.06,0.73,0.84,0,1
3,2,3,1,3,6.34833333333,19.53,2.33,1.54,3.6,2.9,0.7188641,0.8910313,1.1180709999999998,234.6,247.0,262.0,283.2,295.5,310.6,30.2,-18.9,4.43,177.67,0.495,0.11,0.49,89.9,0.0,0.74,0.7,4723,0.217,-0.01,3.2,6.8,779.0,19.2407,49.9686,-26.6,0.7552,1,1,0.369,0.903,-0.53,-0.12,1.83,0.34,0.71,0,1
3,2,3,2,3,6.34833333333,4.72,1.63,1.09,1.77,1.7,1.109832,1.109832,1.109833,261.5,261.5,261.5,302.5,302.5,302.5,5.1,-18.35,3.1,384.84,1.046,0.0,1.05,89.8875,0.0,1.04,1.11,5757,1.214285,0.21,6.0,13.4,430.0,19.7336,44.2776,-26.8,0.5655,1,1,0.828,1.952,-0.61,-0.15,0.3,0.59,0.83,0,1
3,2,3,1,3,6.34833333333,12.69,2.11,1.36,2.86,2.46,0.832599,0.8325992,0.8325992,243.4,243.4,243.4,289.6,289.6,289.6,17.3,-18.6,4.0,56.06,0.2319,0.0,0.23,89.8875,0.0,0.53,0.51,3722,0.044785000000000005,-0.1454,3.89,15.8,251.0,19.3006,41.8121,-26.5,1.1719,1,1,0.17300000000000001,0.44299999999999995,-0.56,-0.13,1.31,0.41,0.74,0,1
3,2,3,1,3,6.34833333333,16.81,2.25,1.47,3.32,2.73,1.20485,1.20485,1.2048510000000001,266.9,266.9,266.9,314.7,314.7,314.7,24.8,-19.15,4.28,198.68,0.6335,0.0,0.63,89.8875,0.0,0.86,0.82,5321,0.483605,-0.1454,4.37,15.0,702.0,19.7109,44.5258,-26.9,0.6898,1,1,0.536,1.28,-0.74,-0.12,1.5,0.37,0.72,0,1
2,4,3,2,3,5.36666666667,2.73,1.4,0.99,1.39,1.4,0.4901548,0.4901549,0.4901549,213.2,213.2,213.2,251.4,251.4,251.4,2.7,-17.13,2.66,86.83,0.3124,0.0,0.31,89.88,0.0,0.54,0.51,3784,0.047845,-0.311454545455,3.72,15.5,236.0,19.8324,46.9967,-26.0,0.8699,1,1,0.17800000000000002,0.456,-0.03,-0.16,0.12,0.83,0.73,0,1
3,2,3,2,3,6.34833333333,6.56,1.78,1.16,2.07,1.92,1.344376,1.344376,1.344376,274.3,274.3,274.3,317.0,317.0,317.0,7.6,-18.76,3.38,60.87,0.2595,0.0,0.26,89.8875,0.0,0.63,0.6,4092,0.09056,-0.1454,4.07,15.8,367.0,19.3673,38.7435,-27.1,1.232,1,1,0.244,0.614,-0.91,-0.14,0.51,0.49,0.78,0,1
3,2,3,1,3,6.34833333333,26.25,2.49,1.71,4.25,3.25,0.9229546999999999,0.9229549000000001,0.9229552,249.7,249.7,249.7,300.0,300.0,300.0,44.8,-19.07,4.73,125.41,0.4434,0.0,0.44,89.8875,0.0,0.74,0.69,4540,0.181473,-0.1454,2.51,14.1,262.0,18.8896,41.2017,-26.6,0.8293,1,1,0.34,0.8390000000000001,-0.59,-0.11,2.25,0.3,0.7,0,1
3,2,3,2,3,6.34833333333,6.56,1.78,1.16,2.07,1.92,0.9021728000000001,0.9021728999999999,0.902173,248.3,248.3,248.3,291.0,291.0,291.0,7.6,-18.32,3.38,168.81,0.5571,0.0,0.56,89.8875,0.0,0.81,0.74,4886,0.280006,-0.1454,2.34,14.1,349.0,19.819000000000003,49.2125,-26.6,0.7079,1,1,0.41700000000000004,1.012,-0.53,-0.14,0.63,0.55,0.8,0,1
3,2,3,1,3,6.34833333333,25.16,2.46,1.68,4.14,3.2,1.105641,1.105641,1.105641,261.2,261.2,261.2,311.3,311.3,311.3,42.3,-19.25,4.68,184.77,0.6013,0.0,0.6,89.8875,0.0,0.85,0.78,5202,0.39972399999999997,-0.1454,3.31,14.8,618.0,19.4451,38.8749,-26.8,0.6913,1,1,0.49,1.176,-0.68,-0.11,2.09,0.31,0.7,0,1
3,2,3,2,3,6.34833333333,7.92,1.87,1.21,2.26,2.06,1.3873799999999998,1.3873799999999998,1.387381,276.5,276.5,276.5,320.2,320.2,320.2,9.6,-18.9,3.56,259.34,0.7877,0.0,0.79,89.8875,0.0,0.97,0.95,5710,0.860759,-0.1454,4.37,14.8,879.0,19.6988,48.5244,-27.1,0.6427,1,1,0.6990000000000001,1.65,-0.81,-0.14,0.66,0.49,0.76,0,1
2,4,3,2,3,1.27,1.27,1.12,0.9,1.01,1.06,0.3601554,0.7005222,1.553164,197.4,227.5,284.4,231.9,262.1,319.0,1.1,-17.11,2.13,11.19,0.0485,0.35,0.05,89.88,310.0,0.12,0.14,3050,0.001544,-0.311454545455,4.85,11.1,1.29,14.4953,-62.6795,-26.4,1.6540000000000001,1,1,0.032,0.086,-0.36,-0.17,-0.39,0.64,0.87,0,1
3,4,3,2,3,4.29,4.29,1.59,1.07,1.7,1.64,1.369828,1.512054,1.673311,275.6,282.4,289.8,316.1,322.9,330.3,4.6,-18.64,3.02,168.12,0.552,0.05,0.55,89.8875,313.5,0.78,0.79,5344,0.460153,-0.55,5.8,3.5,3.65,1.7344,-15.9375,-27.2,0.7665,5,1,0.522,1.246,-0.92,-0.15,0.16,0.51,0.78,0,1
3,6,3,2,3,6.34833333333,0.41,0.77,0.89,0.69,0.73,1.000816,1.148576,1.32473,254.8,263.5,273.3,284.5,293.2,303.0,0.4,-16.76,1.47,4.05,0.0214,0.07,0.02,89.8,0.0,0.08,0.12,2559,0.0005269999999999999,0.04,0.5,18.8,12.1,23.1081,-5.0413,-26.9,2.9156,7,4,0.019,0.051,-0.85,-0.28,-0.86,0.45,0.9,0,1
2,4,3,2,3,5.36666666667,0.62,0.92,0.8,0.74,0.82,0.5638241999999999,0.6661063,0.7927327,220.8,229.8,240.4,251.8,260.9,271.4,0.5,-16.55,1.74,6.1,0.0282,0.09,0.03,89.9,0.0,0.08,0.12,2559,0.0005269999999999999,0.04,0.5,18.8,12.1,23.1081,-5.0413,-26.3,2.2216,7,4,0.019,0.051,-0.43,-0.12,-0.68,0.55,0.86,0,1
2,4,2,2,3,5.36666666667,0.68,1.04,0.6,0.62,0.81,0.3386525,0.38340559999999996,0.4358285,194.3,200.3,207.0,224.5,230.5,237.1,0.4,-16.23,1.99,9.21,0.0371,0.06,0.04,89.7,0.0,0.08,0.12,2559,0.0005269999999999999,0.04,0.5,18.8,12.1,23.1081,-5.0413,-25.7,1.6840000000000002,7,4,0.019,0.051,0.12,0.25,-0.63,0.59,0.68,0,1
2,2,3,2,3,5.21,5.21,1.68,1.11,1.86,1.76,0.15201879999999998,0.279511,0.5726923,159.1,181.6,221.6,200.6,223.1,263.1,5.8,-16.97,3.18,67.27,0.2039,0.32,0.19,89.88,102.0,0.25,0.32,3305,0.011009999999999999,-0.311454545455,3.3225,10.1,4.29,16.505,-12.6626,-25.4,0.8847,3,1,0.086,0.225,0.73,-0.15,0.76,0.48,0.56,0,1
2,4,2,2,3,2.56427,0.68,1.04,0.6,0.62,0.81,0.59536,0.63372,0.78421,195.7033,199.24388,221.46153,211.88591,243.33811,298.80268,0.4,-16.43885,1.99,9.21,0.0371,0.06,0.04,89.98514,0.0,0.08,0.12,2559,0.00053,0.04,0.5,18.8,12.1,23.1081,-5.0413,-25.78413,1.684,7,1,0.019,0.051,0.14924,0.25,-0.63,0.59,0.833,0,1
2,4,3,2,3,6.54356,2.7,1.4,0.99,1.39,1.39,0.31212,0.43789,0.48777,226.73918,210.68229,282.46019,212.27812,256.34524,277.16119,2.7,-17.7775,2.65,62.24,0.213,0.02,0.21,89.73466,28.6,0.33,0.35,3350,0.0137,-0.55,2.0,10.2,6.8,17.3158,-34.9897,-26.30058,0.8714,6,3,0.096,0.251,0.45805,-0.16,0.23,0.63,0.61409,0,1
2,4,3,2,3,3.2844,4.8,1.64,1.09,1.79,1.71,0.16736,0.45785,0.92683,205.98643,199.2408,247.66278,261.4573,228.38906,280.72458,5.2,-17.32895,3.11,48.62,0.168,0.21,0.16,89.74666,80.4,0.28,0.29,3550,0.01198,-0.86,8.0,8.8,3.91,5.1947,-45.0183,-25.88795,0.9409,2,2,0.089,0.232,0.17511,-0.15,0.57,0.63,0.74837,0,1
2,4,3,2,3,5.30267,0.62,0.92,0.8,0.74,0.82,0.27738,0.57426,1.04504,210.19103,191.57642,193.91341,227.92227,234.24677,289.86995,0.5,-17.725,1.74,6.1,0.0282,0.09,0.03,89.87471,0.0,0.08,0.12,2559,0.00053,0.04,0.5,18.8,12.1,23.1081,-5.0413,-25.5241,2.2216,7,1,0.019,0.051,-0.17621,-0.12,-0.68,0.55,0.65437,0,1
2,4,3,2,3,5.9363,1.27,1.12,0.9,1.01,1.06,0.60315,0.52614,0.6041,223.6357,227.48006,208.80679,238.88085,239.0359,241.56154,1.1,-17.69713,2.13,11.19,0.0485,0.35,0.05,89.95578,310.0,0.12,0.14,3050,0.00154,-0.31145,4.85,11.1,1.29,14.4953,-62.6795,-25.69883,1.654,1,2,0.032,0.086,0.49949,-0.17,-0.39,0.64,0.63605,0,1
2,2,3,1,3,8.01691,14.78,2.18,1.42,3.1,2.6,0.18585,0.46725,1.01543,220.92834,189.38597,197.24173,254.95665,224.21086,299.21038,21.0,-16.30554,4.15,247.35,0.677,0.0,0.68,89.96746,0.0,0.68,0.62,4880,0.19559,-0.556,3.3225,11.87857,360.0,19.1626,43.8321,-25.60744,0.488,3,4,0.348,0.846,0.43716,-0.13,1.77,0.36,0.56992,0,1
2,2,3,1,3,1.54161,14.78,2.18,1.42,3.1,2.6,0.53935,0.29891,1.28577,167.26851,225.22241,228.3249,248.8449,240.97894,301.80188,21.0,-17.46121,4.15,247.35,0.677,0.0,0.68,89.74588,0.0,0.68,0.62,4880,0.19559,-0.556,3.3225,11.87857,360.0,19.1626,43.8321,-25.59856,0.488,3,2,0.348,0.846,0.71932,-0.13,1.77,0.36,0.74109,0,1
2,4,3,2,3,5.39275,2.7,1.4,0.99,1.39,1.39,0.63899,0.42338,1.22895,186.4634,225.60523,217.21658,231.23522,256.1692,235.12936,2.7,-17.07433,2.65,62.24,0.213,0.02,0.21,89.73976,28.6,0.33,0.35,3350,0.0137,-0.55,2.0,10.2,6.8,17.3158,-34.9897,-25.88371,0.8714,6,3,0.096,0.251,-0.29404,-0.16,0.23,0.63,0.58437,0,1
2,4,3,2,3,4.74893,2.81,1.41,1.0,1.41,1.41,0.46121,0.5983,1.01542,193.1959,191.76177,246.47221,250.24258,251.10369,292.28273,2.8,-16.98277,2.68,267.29,0.718,0.0,0.72,89.93655,0.0,0.69,0.63,4869,0.20014,-0.21,7.0,14.0,368.0,18.8808,45.3499,-25.96499,0.4676,5,3,0.353,0.857,0.34172,-0.16,0.19,0.66,0.71164,0,1
2,2,3,1,3,5.35471,14.78,2.18,1.42,3.1,2.6,0.46176,0.37912,0.75317,199.18942,232.47959,256.35479,262.64425,260.38677,260.65489,21.0,-17.29983,4.15,247.35,0.677,0.0,0.68,89.80355,0.0,0.68,0.62,4880,0.19559,-0.556,3.3225,11.87857,360.0,19.1626,43.8321,-25.79415,0.488,3,3,0.348,0.846,-0.31498,-0.13,1.77,0.36,0.65157,0,1
2,2,3,2,3,4.81439,7.09,1.82,1.18,2.15,1.98,0.54776,0.56104,0.91785,187.99459,198.63696,255.68799,250.97133,234.37211,280.70275,8.4,-17.65569,3.45,197.8,0.6,0.29,0.57,89.9615,91.2,0.77,0.65,4977,0.2333,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-26.3174,0.6042,6,3,0.379,0.917,-0.38129,-0.14,0.77,0.56,0.82728,1,1
2,2,3,2,3,6.45858,5.21,1.68,1.11,1.86,1.76,0.45952,0.38784,1.41209,182.30931,226.66597,234.787,236.01725,270.74708,298.98334,5.8,-17.5346,3.18,67.27,0.2039,0.32,0.19,89.72883,102.0,0.25,0.32,3305,0.01101,-0.31145,3.3225,10.1,4.29,16.505,-12.6626,-25.74852,0.8847,3,3,0.086,0.225,-0.12109,-0.15,0.76,0.48,0.67584,0,1
2,4,3,2,3,5.71283,0.62,0.92,0.8,0.74,0.82,0.59254,0.48187,0.34576,212.95665,189.01288,214.51075,217.30083,229.84564,260.98223,0.5,-17.0187,1.74,6.1,0.0282,0.09,0.03,89.84755,0.0,0.08,0.12,2559,0.00053,0.04,0.5,18.8,12.1,23.1081,-5.0413,-25.86254,2.2216,7,1,0.019,0.051,0.3022,-0.12,-0.68,0.55,0.74249,0,1
2,2,3,1,3,2.47214,14.78,2.18,1.42,3.1,2.6,0.40639,0.33498,0.939,186.93552,227.29255,220.91926,227.53134,251.13646,300.75006,21.0,-16.62665,4.15,247.35,0.677,0.0,0.68,89.82302,0.0,0.68,0.62,4880,0.19559,-0.556,3.3225,11.87857,360.0,19.1626,43.8321,-25.77253,0.488,3,2,0.348,0.846,0.26382,-0.13,1.77,0.36,0.58513,0,1
2,2,3,1,3,7.33014,14.78,2.18,1.42,3.1,2.6,0.57172,0.30814,0.93395,205.65678,201.98847,210.19451,246.78856,234.32655,281.1471,21.0,-17.3177,4.15,247.35,0.677,0.0,0.68,89.90537,0.0,0.68,0.62,4880,0.19559,-0.556,3.3225,11.87857,360.0,19.1626,43.8321,-26.36259,0.488,3,2,0.348,0.846,0.00471,-0.13,1.77,0.36,0.65578,0,1
2,4,3,2,3,7.85609,2.81,1.41,1.0,1.41,1.41,0.18805,0.68073,0.98122,193.63653,184.30697,268.45915,258.08965,226.77567,274.14228,2.8,-17.80571,2.68,267.29,0.718,0.0,0.72,89.84552,0.0,0.69,0.63,4869,0.20014,-0.21,7.0,14.0,368.0,18.8808,45.3499,-26.35196,0.4676,5,2,0.353,0.857,-0.28738,-0.16,0.19,0.66,0.78273,0,1
2,2,3,2,3,6.19111,6.14,1.75,1.15,2.01,1.87,0.26011,0.57532,0.31824,177.17723,192.03892,197.33273,237.09074,234.93972,284.95178,7.0,-17.05143,3.33,63.34,0.283,0.12,0.28,89.8701,0.0,0.45,0.43,3572,0.027,-0.12,4.2,10.1,226.0,19.1027,49.4373,-25.89011,0.8155,5,4,0.134,0.347,0.38063,-0.14,0.86,0.51,0.75277,0,1
2,4,3,2,3,2.91259,2.34,1.34,0.97,1.3,1.32,0.64273,0.38735,0.41437,213.30383,194.12854,246.20477,218.83034,268.92093,257.64623,2.3,-16.88891,2.55,112.31,0.409,0.04,0.41,89.74241,0.0,0.61,0.59,4402,0.117,-0.37,2.9,7.7,342.0,19.0244,39.2801,-25.92306,0.7685,1,2,0.274,0.681,-0.13791,-0.16,-0.06,0.73,0.74973,0,1
